dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,5.9431,3.1659,54.9578,5.5876,-9.8934,18.4235,57.2424,5.3400,-7.0000,0.0000,59.5821,5.0924,-4.1064,-18.4285,2.0833
0.02,5.8922,3.2566,55.0657,5.3965,-9.5542,16.9562,57.3464,5.2000,-7.0000,0.0000,59.6822,5.0035,-4.4456,-16.9600,2.0798
0.02,5.8429,3.3450,55.1700,5.2117,-9.2422,15.6018,57.4476,5.0600,-7.0000,0.0000,59.7803,4.9083,-4.7577,-15.6046,2.0771
0.02,5.7952,3.4310,55.2706,5.0326,-8.9552,14.3505,57.5460,4.9200,-7.0000,0.0000,59.8765,4.8074,-5.0447,-14.3525,2.0751
0.02,5.7489,3.5147,55.3678,4.8587,-8.6914,13.1904,57.6416,4.7800,-7.0000,0.0000,59.9705,4.7013,-5.3086,-13.1918,2.0737
0.02,5.7042,3.5960,55.4616,4.6898,-8.4492,12.1091,57.7344,4.6400,-7.0000,0.0000,60.0623,4.5902,-5.5508,-12.1100,2.0729
0.02,5.6608,3.6749,55.5521,4.5252,-8.2273,11.0949,57.8244,4.5000,-7.0000,0.0000,60.1518,4.4748,-5.7727,-11.0955,2.0724
0.02,5.6188,3.7513,55.6394,4.3647,-8.0246,10.1373,57.9116,4.3600,-7.0000,0.0000,60.2389,4.3553,-5.9754,-10.1377,2.0723
0.02,5.5781,3.8252,55.7235,4.2079,-7.8400,9.2277,57.9960,4.2200,-7.0000,0.0000,60.3236,4.2321,-6.1600,-9.2280,2.0725
0.02,5.5388,3.8967,55.8046,4.0545,-7.6728,8.3591,58.0776,4.0800,-7.0000,0.0000,60.4057,4.1055,-6.3272,-8.3592,2.0730
0.02,5.5007,3.9658,55.8827,3.9040,-7.5223,7.5264,58.1564,3.9400,-7.0000,0.0000,60.4852,3.9760,-6.4777,-7.5265,2.0736
0.02,5.4640,4.0323,55.9578,3.7563,-7.3878,6.7263,58.2324,3.8000,-7.0000,0.0000,60.5621,3.8437,-6.6122,-6.7262,2.0744
0.02,5.4286,4.0964,56.0301,3.6109,-7.2686,5.9568,58.3056,3.6600,-7.0000,0.0000,60.6362,3.7091,-6.7314,-5.9568,2.0753
0.02,5.3945,4.1579,56.0994,3.4676,-7.1643,5.2176,58.3760,3.5200,-7.0000,0.0000,60.7077,3.5724,-6.8357,-5.2175,2.0762
0.02,5.3617,4.2170,56.1659,3.3261,-7.0741,4.5093,58.4436,3.3800,-7.0000,0.0000,60.7764,3.4339,-6.9259,-4.5093,2.0772
0.02,5.3301,4.2737,56.2297,3.1862,-6.9974,3.8334,58.5084,3.2400,-7.0000,0.0000,60.8422,3.2938,-7.0026,-3.8334,2.0781
0.02,5.2999,4.3278,56.2906,3.0475,-6.9336,3.1921,58.5704,3.1000,-7.0000,0.0000,60.9053,3.1525,-7.0664,-3.1920,2.0791
0.02,5.2710,4.3795,56.3488,2.9099,-6.8818,2.5877,58.6296,2.9600,-7.0000,0.0000,60.9655,3.0101,-7.1182,-2.5877,2.0800
0.02,5.2435,4.4287,56.4043,2.7730,-6.8414,2.0230,58.6860,2.8200,-7.0000,0.0000,61.0228,2.8670,-7.1586,-2.0230,2.0808
0.02,5.2172,4.4754,56.4570,2.6368,-6.8114,1.5005,58.7396,2.6800,-7.0000,0.0000,61.0773,2.7232,-7.1886,-1.5005,2.0816
0.02,5.1924,4.5197,56.5070,2.5010,-6.7909,1.0225,58.7904,2.5400,-7.0000,0.0000,61.1289,2.5790,-7.2091,-1.0225,2.0822
0.02,5.1688,4.5615,56.5543,2.3654,-6.7791,0.5910,58.8384,2.4000,-7.0000,0.0000,61.1776,2.4346,-7.2209,-0.5910,2.0829
0.02,5.1466,4.6009,56.5989,2.2299,-6.7749,0.2075,58.8836,2.2600,-7.0000,0.0000,61.2234,2.2901,-7.2251,-0.2076,2.0834
0.02,5.1258,4.6378,56.6408,2.0944,-6.7775,-0.1269,58.9260,2.1200,-7.0000,0.0000,61.2663,2.1456,-7.2225,0.1269,2.0839
0.02,5.1063,4.6723,56.6800,1.9587,-6.7857,-0.4119,58.9656,1.9800,-7.0000,0.0000,61.3063,2.0013,-7.2143,0.4119,2.0842
0.02,5.0882,4.7043,56.7164,1.8227,-6.7987,-0.6477,59.0024,1.8400,-7.0000,0.0000,61.3435,1.8573,-7.2013,0.6477,2.0845
0.02,5.0714,4.7339,56.7502,1.6864,-6.8154,-0.8350,59.0364,1.7000,-7.0000,0.0000,61.3777,1.7136,-7.1846,0.8350,2.0848
0.02,5.0560,4.7611,56.7812,1.5497,-6.8349,-0.9751,59.0676,1.5600,-7.0000,0.0000,61.4091,1.5703,-7.1651,0.9751,2.0850
0.02,5.0421,4.7858,56.8094,1.4126,-6.8563,-1.0700,59.0960,1.4200,-7.0000,0.0000,61.4377,1.4274,-7.1437,1.0700,2.0851
0.02,5.0294,4.8081,56.8349,1.2750,-6.8787,-1.1220,59.1216,1.2800,-7.0000,0.0000,61.4634,1.2850,-7.1213,1.1220,2.0852
0.02,5.0182,4.8279,56.8577,1.1370,-6.9014,-1.1338,59.1444,1.1400,-7.0000,0.0000,61.4863,1.1430,-7.0986,1.1338,2.0852
0.02,5.0083,4.8453,56.8776,0.9985,-6.9236,-1.1085,59.1644,1.0000,-7.0000,0.0000,61.5063,1.0015,-7.0764,1.1085,2.0853
0.02,5.0000,4.8600,56.8945,0.8449,-7.6811,-37.8754,59.1813,0.8600,-7.0000,0.0000,61.5232,0.8457,-7.7920,-35.7754,2.0853
0.02,5.0000,4.8600,56.8945,0.0000,-42.2430,-1728.0978,59.1813,0.7200,-7.0000,0.0000,61.5232,0.0000,-42.2840,-1724.6007,2.0853
0.02,5.0000,4.8600,56.8945,0.0000,0.0000,2112.1507,59.1813,0.5800,-7.0000,0.0000,61.5232,0.0000,0.0000,2114.1985,2.0853
0.02,5.0000,4.8600,56.8945,0.0000,0.0000,0.0000,59.1813,0.4400,-7.0000,0.0000,61.5232,0.0000,0.0000,0.0000,2.0853
0.02,5.0000,4.8600,56.8945,0.0000,0.0000,0.0000,59.1813,0.3000,-7.0000,0.0000,61.5232,0.0000,0.0000,0.0000,2.0853
0.02,5.0000,4.8600,56.8945,0.0000,0.0000,0.0000,59.1813,0.1600,-7.0000,0.0000,61.5232,0.0000,0.0000,0.0000,2.0853
0.02,5.0000,4.8600,56.8945,0.0000,0.0000,0.0000,59.1813,0.0200,-7.0000,0.0000,61.5232,0.0000,0.0000,0.0000,2.0853
0.02,5.0000,4.8600,56.8945,0.0000,0.0000,0.0000,59.1813,-0.1200,-7.0000,0.0000,61.5232,0.0000,0.0000,0.0000,2.0853
