dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,4.7960,0.0000,2.2960,5.6000,7.0000,0.0000,2.2960,5.6000,7.0000,0.0000,2.2960,5.6000,7.0000,0.0000,0.0000
0.02,4.9108,0.0000,2.4108,5.7400,7.0000,0.0000,2.4108,5.7400,7.0000,0.0000,2.4108,5.7400,7.0000,0.0000,0.0000
0.02,5.0284,0.0000,2.5284,5.8800,7.0000,0.0000,2.5284,5.8800,7.0000,0.0000,2.5284,5.8800,7.0000,0.0000,0.0000
0.02,5.1488,0.0000,2.6488,6.0200,7.0000,0.0000,2.6488,6.0200,7.0000,0.0000,2.6488,6.0200,7.0000,0.0000,0.0000
0.02,5.2720,0.0000,2.7720,6.1600,7.0000,0.0000,2.7720,6.1600,7.0000,0.0000,2.7720,6.1600,7.0000,0.0000,0.0000
0.02,5.3980,0.0000,2.8980,6.3000,7.0000,0.0000,2.8980,6.3000,7.0000,0.0000,2.8980,6.3000,7.0000,0.0000,0.0000
0.02,5.5268,0.0000,3.0268,6.4400,7.0000,0.0000,3.0268,6.4400,7.0000,0.0000,3.0268,6.4400,7.0000,0.0000,0.0000
0.02,5.6584,0.0000,3.1584,6.5800,7.0000,0.0000,3.1584,6.5800,7.0000,0.0000,3.1584,6.5800,7.0000,0.0000,0.0000
0.02,5.7928,0.0000,3.2928,6.7200,7.0000,0.0000,3.2928,6.7200,7.0000,0.0000,3.2928,6.7200,7.0000,0.0000,0.0000
0.02,5.9300,0.0000,3.4300,6.8600,7.0000,0.0000,3.4300,6.8600,7.0000,0.0000,3.4300,6.8600,7.0000,0.0000,0.0000
0.02,6.0700,0.0000,3.5700,7.0000,7.0000,0.0000,3.5700,7.0000,7.0000,0.0000,3.5700,7.0000,7.0000,0.0000,0.0000
0.02,6.2128,0.0000,3.7128,7.1400,7.0000,0.0000,3.7128,7.1400,7.0000,0.0000,3.7128,7.1400,7.0000,0.0000,0.0000
0.02,6.3584,0.0000,3.8584,7.2800,7.0000,0.0000,3.8584,7.2800,7.0000,0.0000,3.8584,7.2800,7.0000,0.0000,0.0000
0.02,6.5068,0.0000,4.0068,7.4200,7.0000,0.0000,4.0068,7.4200,7.0000,0.0000,4.0068,7.4200,7.0000,0.0000,0.0000
0.02,6.6580,0.0000,4.1580,7.5600,7.0000,0.0000,4.1580,7.5600,7.0000,0.0000,4.1580,7.5600,7.0000,0.0000,0.0000
0.02,6.8120,0.0000,4.3120,7.7000,7.0000,0.0000,4.3120,7.7000,7.0000,0.0000,4.3120,7.7000,7.0000,0.0000,0.0000
0.02,6.9688,0.0000,4.4688,7.8400,7.0000,0.0000,4.4688,7.8400,7.0000,0.0000,4.4688,7.8400,7.0000,0.0000,0.0000
0.02,7.1284,0.0000,4.6284,7.9800,7.0000,0.0000,4.6284,7.9800,7.0000,0.0000,4.6284,7.9800,7.0000,0.0000,0.0000
0.02,7.2908,0.0000,4.7908,8.1200,7.0000,0.0000,4.7908,8.1200,7.0000,0.0000,4.7908,8.1200,7.0000,0.0000,0.0000
0.02,7.4504,0.0000,4.9504,7.9800,-7.0000,-700.0000,4.9504,7.9800,-7.0000,0.0000,4.9504,7.9800,-7.0000,-700.0000,0.0000
0.02,7.6072,0.0000,5.1072,7.8400,-7.0000,0.0000,5.1072,7.8400,-7.0000,0.0000,5.1072,7.8400,-7.0000,0.0000,0.0000
