dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,25.2640,-0.7500,3.2640,5.0000,0.0000,0.0000,3.2640,5.0000,7.0000,0.0000,3.2640,5.0000,0.0000,0.0000,0.0000
0.02,25.3640,-0.7500,3.3640,5.0000,0.0000,0.0000,3.3640,5.0000,7.0000,0.0000,3.3640,5.0000,0.0000,0.0000,0.0000
0.02,25.4640,-0.7500,3.4640,5.0000,0.0000,0.0000,3.4640,5.0000,7.0000,0.0000,3.4640,5.0000,0.0000,0.0000,0.0000
0.02,25.5640,-0.7500,3.5640,5.0000,0.0000,0.0000,3.5640,5.0000,7.0000,0.0000,3.5640,5.0000,0.0000,0.0000,0.0000
0.02,25.6640,-0.7500,3.6640,5.0000,0.0000,0.0000,3.6640,5.0000,7.0000,0.0000,3.6640,5.0000,0.0000,0.0000,0.0000
0.02,25.7640,-0.7500,3.7640,5.0000,0.0000,0.0000,3.7640,5.0000,7.0000,0.0000,3.7640,5.0000,0.0000,0.0000,0.0000
0.02,25.8640,-0.7500,3.8640,5.0000,0.0000,0.0000,3.8640,5.0000,7.0000,0.0000,3.8640,5.0000,0.0000,0.0000,0.0000
0.02,25.9640,-0.7500,3.9640,5.0000,0.0000,0.0000,3.9640,5.0000,7.0000,0.0000,3.9640,5.0000,0.0000,0.0000,0.0000
0.02,26.0640,-0.7500,4.0640,5.0000,0.0000,0.0000,4.0640,5.0000,7.0000,0.0000,4.0640,5.0000,0.0000,0.0000,0.0000
0.02,26.1640,-0.7500,4.1640,5.0000,0.0000,0.0000,4.1640,5.0000,7.0000,0.0000,4.1640,5.0000,0.0000,0.0000,0.0000
0.02,26.2640,-0.7500,4.2640,5.0000,0.0000,0.0000,4.2640,5.0000,7.0000,0.0000,4.2640,5.0000,0.0000,0.0000,0.0000
0.02,26.3640,-0.7500,4.3640,5.0000,0.0000,0.0000,4.3640,5.0000,7.0000,0.0000,4.3640,5.0000,0.0000,0.0000,0.0000
