dt,x,y,left.pos,left.vel,left.acc,left.jerk,center.pos,center.vel,center.acc,center.jerk,right.pos,right.vel,right.acc,right.jerk,heading
0.02,4.9860,-2.4600,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0060,0.3000,15.0000,0.0000,0.0000
0.02,4.9980,-2.4600,0.0180,0.5986,14.9318,-3.4120,0.0180,0.6000,15.0000,0.0000,0.0180,0.6014,15.0682,3.4120,0.0000
0.02,5.0160,-2.4600,0.0359,0.8954,14.8390,-4.6366,0.0360,0.9000,15.0000,0.0000,0.0361,0.9046,15.1610,4.6366,0.0001
0.02,5.0400,-2.4600,0.0597,1.1892,14.6895,-7.4770,0.0600,1.2000,15.0000,0.0000,0.0603,1.2108,15.3105,7.4770,0.0003
0.02,5.0700,-2.4600,0.0892,1.4791,14.4944,-9.7532,0.0900,1.5000,15.0000,0.0000,0.0908,1.5209,15.5056,9.7532,0.0007
0.02,5.1060,-2.4599,0.1245,1.7642,14.2573,-11.8578,0.1260,1.8000,15.0000,0.0000,0.1275,1.8358,15.7427,11.8578,0.0013
0.02,5.1480,-2.4599,0.1654,2.0439,13.9820,-13.7637,0.1680,2.1000,15.0000,0.0000,0.1706,2.1561,16.0180,13.7635,0.0023
0.02,5.1960,-2.4597,0.2118,2.3173,13.6730,-15.4513,0.2160,2.4000,15.0000,0.0000,0.2202,2.4827,16.3270,15.4509,0.0038
0.02,5.2500,-2.4595,0.2634,2.5840,13.3348,-16.9083,0.2700,2.7000,15.0000,0.0000,0.2766,2.8160,16.6652,16.9077,0.0058
0.02,5.3100,-2.4590,0.3203,2.8435,12.9722,-18.1280,0.3300,3.0000,15.0000,0.0000,0.3397,3.1565,17.0277,18.1268,0.0086
0.02,5.3760,-2.4584,0.3822,3.0953,12.5901,-19.1059,0.3960,3.3000,15.0000,0.0000,0.4098,3.5047,17.4098,19.1041,0.0123
0.02,5.4480,-2.4573,0.4490,3.3391,12.1934,-19.8367,0.4680,3.6000,15.0000,0.0000,0.4870,3.8608,17.8065,19.8340,0.0169
0.02,5.5260,-2.4558,0.5205,3.5749,11.7872,-20.3095,0.5460,3.9000,15.0000,0.0000,0.5715,4.2251,18.2126,20.3055,0.0227
0.02,5.6099,-2.4536,0.5965,3.8024,11.3772,-20.5024,0.6300,4.2000,15.0000,0.0000,0.6635,4.5975,18.6225,20.4969,0.0297
0.02,5.6999,-2.4505,0.6770,4.0218,10.9696,-20.3771,0.7200,4.5000,15.0000,0.0000,0.7630,4.9781,19.0299,20.3696,0.0382
0.02,5.7958,-2.4464,0.7616,4.2333,10.5721,-19.8732,0.8160,4.8000,15.0000,0.0000,0.8704,5.3667,19.4272,19.8634,0.0483
0.02,5.8977,-2.4409,0.8504,4.4372,10.1941,-18.9030,0.9180,5.1000,15.0000,0.0000,0.9856,5.7628,19.8050,18.8907,0.0601
0.02,6.0054,-2.4336,0.9431,4.6341,9.8471,-17.3488,1.0260,5.4000,15.0000,0.0000,1.1089,6.1658,20.1517,17.3338,0.0737
0.02,6.1190,-2.4244,1.0396,4.8250,9.5459,-15.0621,1.1400,5.7000,15.0000,0.0000,1.2404,6.5749,20.4526,15.0444,0.0893
0.02,6.2385,-2.4126,1.1398,5.0112,9.3085,-11.8696,1.2600,6.0000,15.0000,0.0000,1.3802,6.9887,20.6895,11.8494,0.1069
0.02,6.3636,-2.3980,1.2437,5.1943,9.1568,-7.5862,1.3860,6.3000,15.0000,0.0000,1.5283,7.4055,20.8408,7.5643,0.1265
0.02,6.4944,-2.3799,1.3512,5.3766,9.1159,-2.0402,1.5180,6.6000,15.0000,0.0000,1.6848,7.8231,20.8812,2.0178,0.1483
0.02,6.6306,-2.3579,1.4624,5.5609,9.2137,4.8899,1.6560,6.9000,15.0000,0.0000,1.8495,8.2388,20.7830,-4.9109,0.1721
0.02,6.7721,-2.3315,1.5774,5.7505,9.4782,13.2250,1.8000,7.2000,15.0000,0.0000,2.0225,8.6491,20.5181,-13.2422,0.1978
0.02,6.9188,-2.3000,1.6964,5.9492,9.9348,22.8295,1.9500,7.5000,15.0000,0.0000,2.2035,9.0504,20.0613,-22.8396,0.2254
0.02,7.0703,-2.2629,1.8196,6.1612,10.6020,33.3598,2.1060,7.8000,15.0000,0.0000,2.3923,9.4382,19.3941,-33.3598,0.2545
0.02,7.2264,-2.2197,1.9475,6.3909,11.4868,44.2389,2.2680,8.1000,15.0000,0.0000,2.5885,9.8084,18.5096,-44.2258,0.2849
0.02,7.3869,-2.1700,2.0803,6.6426,12.5803,54.6758,2.4360,8.4000,15.0000,0.0000,2.7916,10.1568,17.4167,-54.6477,0.3161
0.02,7.5514,-2.1133,2.2187,6.9197,13.8552,63.7459,2.6100,8.7000,15.0000,0.0000,3.0012,10.4796,16.1426,-63.7028,0.3478
0.02,7.7196,-2.0492,2.3632,7.2250,15.2658,70.5299,2.7900,9.0000,15.0000,0.0000,3.2167,10.7743,14.7331,-70.4738,0.3793
0.02,7.8858,-1.9801,2.5095,7.3144,4.4736,-539.6129,2.9700,9.0000,15.0000,0.0000,3.4304,10.6849,-4.4699,-960.1522,0.4093
0.02,8.0499,-1.9061,2.6579,7.4218,5.3687,44.7578,3.1500,9.0000,15.0000,0.0000,3.6419,10.5776,-5.3646,-44.7336,0.4373
0.02,8.2119,-1.8277,2.8088,7.5429,6.0555,34.3402,3.3300,9.0000,15.0000,0.0000,3.8511,10.4566,-6.0512,-34.3300,0.4632
0.02,8.3720,-1.7454,2.9623,7.6737,6.5387,24.1588,3.5100,9.0000,15.0000,0.0000,4.0576,10.3259,-6.5344,-24.1610,0.4868
0.02,8.5301,-1.6595,3.1185,7.8104,6.8332,14.7253,3.6900,9.0000,15.0000,0.0000,4.2614,10.1893,-6.8291,-14.7373,0.5080
0.02,8.6814,-1.5734,3.2721,7.6823,-6.4013,-661.7253,3.8640,8.7000,-15.0000,0.0000,4.4557,9.7174,-23.5938,-838.2330,0.5261
0.02,8.8260,-1.4879,3.4229,7.5406,-7.0862,-34.2464,4.0320,8.4000,-15.0000,0.0000,4.6409,9.2592,-22.9101,34.1858,0.5413
0.02,8.9643,-1.4036,3.5706,7.3839,-7.8365,-37.5159,4.1940,8.1000,-15.0000,0.0000,4.8172,8.8160,-22.1608,37.4661,0.5541
0.02,9.0965,-1.3208,3.7148,7.2117,-8.6093,-38.6399,4.3500,7.8000,-15.0000,0.0000,4.9850,8.3882,-21.3888,38.6007,0.5645
0.02,9.2229,-1.2400,3.8553,7.0242,-9.3747,-38.2689,4.5000,7.5000,-15.0000,0.0000,5.1445,7.9757,-20.6240,38.2391,0.5730
0.02,9.3436,-1.1615,3.9918,6.8220,-10.1125,-36.8913,4.6440,7.2000,-15.0000,0.0000,5.2961,7.5780,-19.8866,36.8694,0.5797
0.02,9.4589,-1.0856,4.1239,6.6058,-10.8097,-34.8569,4.7820,6.9000,-15.0000,0.0000,5.4399,7.1942,-19.1898,34.8413,0.5849
0.02,9.5688,-1.0125,4.2514,6.3766,-11.4578,-32.4087,4.9140,6.6000,-15.0000,0.0000,5.5764,6.8234,-18.5418,32.3980,0.5889
0.02,9.6734,-0.9423,4.3741,6.1356,-12.0521,-29.7129,5.0400,6.3000,-15.0000,0.0000,5.7057,6.4644,-17.9477,29.7057,0.5918
0.02,9.7729,-0.8753,4.4918,5.8838,-12.5898,-26.8833,5.1600,6.0000,-15.0000,0.0000,5.8280,6.1162,-17.4101,26.8787,0.5939
0.02,9.8674,-0.8114,4.6043,5.6224,-13.0698,-24.0004,5.2740,5.7000,-15.0000,0.0000,5.9436,5.7776,-16.9302,23.9976,0.5953
0.02,9.9568,-0.7508,4.7113,5.3525,-13.4923,-21.1240,5.3820,5.4000,-15.0000,0.0000,6.0525,5.4475,-16.5077,21.1224,0.5961
0.02,10.0412,-0.6935,4.8128,5.0754,-13.8583,-18.3020,5.4840,5.1000,-15.0000,0.0000,6.1550,5.1246,-16.1417,18.3012,0.5966
